"","x"
"HDFS",204.061172161172
"Spark",786.901831501832
"Giraphe",0
"Python",244.528388278388
"MongoDB",3.33333333333333
"Sprinklr",2.83333333333333
"Hive",191.266483516483
"Impala",11.2142857142857
"Pig",0
"Sqoop",46.65
"Flume",46.5
"Kafka",13.1666666666667
"Lambda",0
"MySQL",61.3166666666667
"Scala",11.5998168498168
"Java",124.217032967033
"Avro",0
"Tableau",19.1974358974359
"Jupyter",0
"Oozie",18.3494505494506
"YARN",18.3494505494506
"Airflow",25.7619047619048
"GCP",149.721428571429
"R",10.0357142857143
"Map Reduce",113.916666666667
"Power BI",19.1974358974359
"Ambari",0
"Denodo",10.8505494505494
"Mahout",0
"Kubernetes",0
"SAS",10.0357142857143
"R Studio",3.63333333333333
"Tensorflow",0
"AWS Kinesis",39.6666666666667
"Dataproc",0
"Dataflow",0
"Cloud Composer",17.5833333333333
"S3",121.833333333333
"Cloud Storage",0
"Bigquery",218.278571428571
"Scripting",0
"GA 360",0
"Medallia",0
"SFMC",45.5
"Docker",48
"CI/CD",0
"Git",15.5
"Cassandra",6.33333333333333
"HBase",0
"BigTable",54.6666666666667
