"","x"
"HDFS",0.00869565217391304
"Spark",0.0108695652173913
"Giraphe",0.00714285714285714
"Python",0.00793650793650794
"MongoDB",0.00492610837438424
"Sprinklr",0.00490196078431373
"Hive",0.00862068965517241
"Impala",0.00671140939597316
"Pig",0.00523560209424084
"Sqoop",0.0072992700729927
"Flume",0.00628930817610063
"Kafka",0.0050251256281407
"Lambda",0.00561797752808989
"MySQL",0.00714285714285714
"Scala",0.00746268656716418
"Java",0.00763358778625954
"Avro",0.00523560209424084
"Tableau",0.00763358778625954
"Jupyter",0.00574712643678161
"Oozie",0.00757575757575758
"YARN",0.00757575757575758
"Airflow",0.0062111801242236
"GCP",0.00680272108843537
"R",0.0072463768115942
"Map Reduce",0.00699300699300699
"Power BI",0.00763358778625954
"Ambari",0.00574712643678161
"Denodo",0.00645161290322581
"Mahout",0.00628930817610063
"Kubernetes",0.0053763440860215
"SAS",0.00775193798449612
"R Studio",0.00625
"Tensorflow",0.00574712643678161
"AWS Kinesis",0.00571428571428572
"Dataproc",0.00515463917525773
"Dataflow",0.00613496932515337
"Cloud Composer",0.00552486187845304
"S3",0.0075187969924812
"Cloud Storage",0.00515463917525773
"Bigquery",0.00819672131147541
"Scripting",0.00574712643678161
"GA 360",0.00613496932515337
"Medallia",0.00558659217877095
"SFMC",0.00625
"Docker",0.0072463768115942
"CI/CD",0.00558659217877095
"Git",0.00609756097560976
"Cassandra",0.00483091787439614
"HBase",0.00613496932515337
"BigTable",0.00632911392405063
